"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","3,569,131","±2,998","501,265","±1,968","4,680,243","±2,323","2,158,237","±3,062","27,526,878","±5,929","3,730,665","±3,105","2,704,903","±1,035","679,186","±1,049","493,292","±614","14,543,834","±6,379","7,027,555","±4,541","1,012,016","±2,386","1,123,339","±1,757","9,551,526","±3,901","4,789,150","±2,810","2,283,123","±2,206","2,079,024","±3,265","3,224,339","±4,238","3,326,985","±5,453","1,039,939","±1,467","4,337,987","±3,198","5,063,321","±1,700","7,432,208","±2,371","3,971,070","±2,265","2,150,922","±2,413","4,466,134","±4,290","754,107","±1,523","1,343,180","±2,056","2,005,224","±2,065","1,016,909","±1,266","6,636,086","±2,887","1,515,041","±2,067","14,832,620","±3,940","7,080,012","±5,136","510,503","±1,203","8,643,518","±6,119","2,747,857","±3,005","2,933,745","±1,691","9,727,767","±2,802","812,773","±1,230","3,458,358","±2,771","597,248","±1,512","4,766,449","±3,568","17,903,428","±5,675","1,879,971","±1,460","490,225","±1,176","5,957,751","±6,130","5,055,145","±3,925","1,438,098","±2,665","4,279,244","±2,587","418,781","±1,604","2,798,196","±894"
"    Worked full-time, year-round:","1,392,166","±14,404","212,727","±6,203","1,820,532","±19,801","870,498","±11,861","10,770,580","±43,939","1,654,678","±15,385","1,161,537","±12,173","288,394","±6,908","226,540","±4,901","5,519,810","±29,987","2,972,146","±20,238","442,582","±8,033","433,755","±7,974","4,007,462","±22,131","1,938,164","±16,238","1,049,104","±9,187","949,384","±11,481","1,249,055","±14,690","1,401,734","±14,737","423,365","±6,511","2,087,940","±16,377","2,137,789","±16,774","2,627,140","±16,882","1,766,707","±13,128","853,871","±12,740","1,889,694","±15,018","301,021","±6,551","646,816","±7,349","838,100","±12,556","460,071","±7,034","2,947,777","±20,123","606,119","±11,210","6,286,684","±30,563","2,813,418","±17,928","245,816","±4,292","3,473,835","±18,161","1,180,312","±11,897","1,072,215","±12,540","3,968,214","±20,838","318,027","±6,019","1,353,632","±13,860","286,427","±4,685","1,898,785","±18,728","8,134,983","±38,235","800,172","±10,305","205,456","±4,478","2,769,101","±18,954","2,034,395","±15,477","523,043","±9,142","1,837,583","±14,084","198,471","±5,494","787,178","±11,563"
"        18 to 64 years:","1,349,031","±13,409","207,237","±5,931","1,768,757","±19,334","843,695","±11,868","10,448,689","±45,612","1,609,699","±15,105","1,119,811","±12,017","279,073","±6,906","219,031","±4,651","5,314,733","±29,536","2,898,052","±19,877","424,122","±7,783","421,187","±7,903","3,898,318","±22,257","1,889,851","±15,806","1,018,680","±8,892","916,041","±10,912","1,215,824","±14,366","1,351,847","±14,501","411,211","±6,413","2,019,082","±16,141","2,067,714","±16,605","2,567,254","±16,378","1,726,327","±13,294","826,427","±12,376","1,837,278","±14,877","290,930","±6,451","624,015","±7,211","810,039","±12,481","447,913","±7,027","2,838,431","±19,726","586,198","±10,876","6,082,115","±30,848","2,741,220","±17,212","237,604","±4,075","3,382,291","±17,470","1,138,191","±11,383","1,043,487","±12,516","3,849,479","±20,051","307,642","±5,669","1,316,061","±13,616","276,815","±4,549","1,840,529","±18,322","7,906,667","±38,093","781,057","±9,917","198,406","±4,369","2,687,337","±18,265","1,983,295","±14,716","509,812","±9,140","1,798,030","±13,716","191,283","±5,220","765,996","±11,721"
"            With health insurance coverage","1,184,112","±13,538","174,209","±6,236","1,481,343","±16,765","701,539","±12,082","8,692,469","±47,076","1,394,666","±17,292","1,036,889","±11,767","254,148","±6,581","205,197","±4,659","4,201,634","±31,745","2,407,739","±20,392","400,704","±7,399","357,844","±7,167","3,423,286","±21,344","1,673,123","±14,007","937,311","±9,025","809,959","±11,232","1,056,907","±13,898","1,096,780","±12,981","371,004","±6,004","1,824,592","±16,855","1,982,343","±16,043","2,294,784","±15,428","1,601,944","±12,880","691,969","±11,903","1,639,390","±16,009","244,606","±6,132","557,160","±7,542","671,951","±11,900","406,454","±8,185","2,477,450","±19,392","465,455","±11,005","5,317,752","±31,620","2,348,849","±19,195","214,462","±4,542","3,051,491","±18,125","938,109","±10,865","898,047","±13,045","3,518,743","±21,351","275,748","±6,813","1,118,664","±13,513","246,843","±4,670","1,608,142","±18,398","6,130,871","±39,717","674,253","±9,646","178,873","±4,101","2,390,576","±19,710","1,762,756","±13,939","434,152","±9,989","1,654,787","±13,876","166,711","±5,202","689,949","±10,530"
"                With employer-based health insurance","1,071,302","±13,022","154,279","±6,059","1,283,307","±16,026","629,374","±12,141","7,647,564","±44,911","1,216,752","±16,463","942,656","±11,153","230,862","±6,503","185,357","±4,935","3,697,883","±31,778","2,190,824","±19,062","362,213","±7,548","319,192","±6,668","3,108,694","±20,988","1,542,152","±14,541","839,504","±9,494","734,420","±11,171","969,734","±14,326","975,740","±13,706","327,591","±6,117","1,660,245","±16,690","1,785,904","±14,448","2,103,240","±15,545","1,441,542","±13,407","621,459","±11,541","1,491,872","±15,448","209,394","±6,004","487,652","±7,459","617,876","±12,026","380,045","±8,308","2,313,889","±19,410","397,317","±9,155","4,761,405","±31,318","2,104,658","±17,976","187,070","±4,575","2,818,643","±17,533","845,406","±11,335","823,325","±12,189","3,257,456","±22,208","254,325","±6,477","1,008,627","±13,172","207,748","±4,824","1,434,919","±17,148","5,564,424","±38,489","616,149","±9,918","153,228","±4,288","2,145,455","±21,881","1,604,948","±15,398","407,524","±9,779","1,487,853","±13,542","148,687","±5,093","500,659","±9,802"
"                With direct-purchase health insurance","123,928","±5,765","11,685","±1,908","144,198","±7,536","77,810","±4,505","895,323","±18,694","162,986","±6,890","91,341","±6,174","19,439","±2,369","35,557","±4,110","452,816","±12,721","247,569","±8,310","66,058","±5,235","42,298","±2,908","290,060","±8,964","140,622","±5,462","109,327","±4,208","84,895","±4,305","96,958","±4,830","122,285","±6,154","28,856","±2,487","164,045","±7,282","163,406","±6,645","201,454","±7,741","155,171","±4,927","75,685","±5,130","151,425","±6,189","36,671","±3,164","73,987","±3,764","67,055","±5,071","30,750","±2,913","181,795","±8,688","47,465","±4,522","446,439","±12,578","253,071","±8,294","30,763","±2,278","232,441","±7,898","94,008","±5,229","80,264","±5,744","285,120","±8,582","19,379","±2,762","103,938","±5,393","43,116","±3,262","155,118","±6,926","587,668","±12,719","59,293","±4,141","12,851","±1,550","240,265","±8,824","158,304","±6,681","36,920","±3,452","130,601","±5,451","18,482","±2,421","122,645","±7,129"
"                With Medicare coverage","5,044","±1,310","387","±345","5,719","±1,484","3,985","±1,014","38,833","±3,847","5,200","±1,385","4,345","±1,116","1,194","±461","1,416","±798","18,596","±2,023","10,832","±1,902","2,265","±1,081","923","±429","11,749","±1,758","5,711","±1,225","3,425","±813","2,884","±784","3,047","±788","6,684","±1,351","1,007","±401","6,685","±1,429","7,443","±1,333","7,897","±1,537","4,663","±876","3,746","±1,131","6,964","±1,220","774","±365","1,170","±544","2,483","±1,023","1,274","±634","8,376","±1,502","3,028","±1,044","19,531","±2,157","7,902","±1,221","994","±530","10,992","±1,609","4,047","±855","2,650","±872","11,659","±1,727","632","±291","4,605","±1,108","951","±442","7,830","±1,500","26,825","±2,927","1,909","±751","553","±326","9,766","±1,811","4,314","±1,236","2,325","±717","4,720","±990","504","±324","5,064","±1,062"
"                With Medicaid/means-tested public coverage","24,107","±2,562","4,852","±1,071","88,735","±6,324","17,485","±2,435","356,785","±12,212","33,098","±3,489","39,912","±3,472","14,328","±2,617","14,856","±2,457","109,371","±6,391","43,293","±4,425","13,611","±2,036","5,843","±1,014","140,868","±6,718","38,849","±3,570","27,325","±2,690","12,717","±1,788","20,263","±2,380","38,083","±3,695","24,881","±2,303","51,487","±4,231","116,277","±6,445","84,590","±5,108","53,783","±3,060","17,946","±2,416","33,831","±3,392","4,904","±1,213","9,989","±1,807","10,446","±1,654","5,423","±1,117","76,953","±4,901","31,238","±3,427","355,914","±12,033","50,493","±4,410","3,290","±793","94,823","±5,573","20,313","±2,433","19,334","±3,074","92,560","±5,147","10,699","±1,974","26,832","±2,605","3,733","±817","54,415","±4,189","158,448","±8,296","16,309","±2,336","15,628","±2,013","26,491","±2,917","41,097","±3,212","9,402","±1,553","85,388","±4,791","2,829","±840","111,830","±5,948"
"            No health insurance coverage","164,919","±8,213","33,028","±2,589","287,414","±11,488","142,156","±7,580","1,756,220","±25,723","215,033","±10,045","82,922","±6,380","24,925","±2,805","13,834","±2,561","1,113,099","±18,611","490,313","±14,469","23,418","±2,690","63,343","±3,673","475,032","±13,028","216,728","±8,699","81,369","±4,404","106,082","±6,126","158,917","±8,148","255,067","±10,002","40,207","±3,057","194,490","±8,625","85,371","±7,050","272,470","±8,739","124,383","±5,710","134,458","±7,127","197,888","±7,558","46,324","±3,619","66,855","±4,264","138,088","±7,477","41,459","±3,962","360,981","±10,754","120,743","±6,376","764,363","±18,675","392,371","±13,633","23,142","±2,426","330,800","±11,880","200,082","±7,811","145,440","±7,323","330,736","±9,574","31,894","±3,553","197,397","±9,472","29,972","±2,422","232,387","±9,614","1,775,796","±25,374","106,804","±6,380","19,533","±2,637","296,761","±9,980","220,539","±9,814","75,660","±4,384","143,243","±6,382","24,572","±2,571","76,047","±4,208"
"        65 years and over:","43,135","±2,972","5,490","±1,127","51,775","±3,601","26,803","±2,541","321,891","±7,934","44,979","±3,017","41,726","±2,667","9,321","±1,402","7,509","±1,203","205,077","±6,345","74,094","±3,554","18,460","±2,059","12,568","±1,741","109,144","±4,124","48,313","±3,479","30,424","±2,059","33,343","±2,251","33,231","±2,118","49,887","±3,015","12,154","±1,447","68,858","±3,947","70,075","±3,717","59,886","±3,618","40,380","±2,215","27,444","±2,457","52,416","±3,254","10,091","±1,228","22,801","±1,780","28,061","±2,870","12,158","±1,433","109,346","±4,063","19,921","±2,226","204,569","±6,801","72,198","±3,718","8,212","±890","91,544","±4,351","42,121","±2,800","28,728","±2,689","118,735","±4,142","10,385","±1,279","37,571","±2,657","9,612","±1,223","58,256","±3,223","228,316","±6,197","19,115","±1,937","7,050","±966","81,764","±4,091","51,100","±3,531","13,231","±1,491","39,553","±2,254","7,188","±1,103","21,182","±2,107"
