GEO_ID,NAME,S2701_C01_001E,S2701_C02_001E,S2701_C03_001E
Geography,Geographic Area Name,Total!!Estimate!!Total civilian noninstitutionalized population,Number Uninsured!!Estimate!!Total civilian noninstitutionalized population,Percent Uninsured!!Estimate!!Total civilian noninstitutionalized population
0400000US01,Alabama,4702769,686592,14.6
0400000US02,Alaska,689249,136840,19.9
0400000US04,Arizona,6310174,1065132,16.9
0400000US05,Arkansas,2867611,500613,17.5
0400000US06,California,36815569,6824913,18.5
0400000US08,Colorado,4956873,789109,15.9
0400000US09,Connecticut,3519913,320133,9.1
0400000US10,Delaware,885232,85801,9.7
0400000US11,District of Columbia,594282,45164,7.6
0400000US12,Florida,18534081,3941060,21.3
0400000US13,Georgia,9519836,1875566,19.7
0400000US15,Hawaii,1315677,103764,7.9
0400000US16,Idaho,1551635,275404,17.7
0400000US17,Illinois,12673245,1745556,13.8
0400000US18,Indiana,6391470,947920,14.8
0400000US19,Iowa,3004885,279811,9.3
0400000US20,Kansas,2804461,389446,13.9
0400000US21,Kentucky,4242714,647041,15.3
0400000US22,Louisiana,4440314,790987,17.8
0400000US23,Maine,1313037,133065,10.1
0400000US24,Maryland,5687998,640861,11.3
0400000US25,Massachusetts,6478067,285717,4.4
0400000US26,Michigan,9763683,1207384,12.4
0400000US27,Minnesota,5252092,476259,9.1
0400000US28,Mississippi,2902907,528095,18.2
0400000US29,Missouri,5879864,773894,13.2
0400000US30,Montana,975562,168981,17.3
0400000US31,Nebraska,1802049,207653,11.5
0400000US32,Nevada,2668966,603700,22.6
0400000US33,New Hampshire,1302639,145013,11.1
0400000US34,New Jersey,8693541,1151158,13.2
0400000US35,New Mexico,2032699,398558,19.6
0400000US36,New York,19134281,2277382,11.9
0400000US37,North Carolina,9360661,1569837,16.8
0400000US38,North Dakota,660611,64535,9.8
0400000US39,Ohio,11358640,1398943,12.3
0400000US40,Oklahoma,3677206,693551,18.9
0400000US41,Oregon,3799107,651504,17.1
0400000US42,Pennsylvania,12506000,1271180,10.2
0400000US44,Rhode Island,1036743,126184,12.2
0400000US45,South Carolina,4536835,795275,17.5
0400000US46,South Dakota,798141,98886,12.4
0400000US47,Tennessee,6259546,898561,14.4
0400000US48,Texas,24779450,5875474,23.7
0400000US49,Utah,2750354,421924,15.3
0400000US50,Vermont,619886,49880,8.0
0400000US51,Virginia,7807416,1020130,13.1
0400000US53,Washington,6638081,945589,14.2
0400000US54,West Virginia,1823372,266161,14.6
0400000US55,Wisconsin,5613402,529200,9.4
0400000US56,Wyoming,555010,82836,14.9
0400000US72,Puerto Rico,3695636,296939,8.0
