GEO_ID,STATE,S2701_POPULATION,S2701_UNINSURED_NUMBER,S2701_UNINSURED_PERCENT
01,Alabama,4988625.0,4551357.0,8.799999999999997
02,Alaska,701511.0,624538.0,11.0
04,Arizona,7251924.0,6503212.0,10.299999999999997
05,Arkansas,2991199.0,2739056.0,8.400000000000006
06,California,38548670.0,36056827.0,6.5
08,Colorado,5742363.0,5333838.0,7.099999999999994
09,Connecticut,3582236.0,3397320.0,5.200000000000003
10,Delaware,1005551.0,948761.0,5.599999999999994
11,District of Columbia,661425.0,641951.0,2.9000000000000057
12,Florida,21904247.0,19456522.0,11.200000000000003
13,Georgia,10718050.0,9466834.0,11.700000000000003
15,Hawaii,1383700.0,1334867.0,3.5
16,Idaho,1911951.0,1755313.0,8.200000000000003
17,Illinois,12413406.0,11600171.0,6.599999999999994
18,Indiana,6737570.0,6268108.0,7.0
19,Iowa,3153337.0,3012541.0,4.5
20,Kansas,2876222.0,2629152.0,8.599999999999994
21,Kentucky,4428274.0,4181313.0,5.599999999999994
22,Louisiana,4494008.0,4181812.0,6.900000000000006
23,Maine,1368026.0,1278243.0,6.599999999999994
24,Maryland,6073039.0,5704646.0,6.099999999999994
25,Massachusetts,6919123.0,6751464.0,2.4000000000000057
26,Michigan,9929781.0,9478301.0,4.5
27,Minnesota,5657569.0,5403146.0,4.5
28,Mississippi,2872112.0,2560538.0,10.799999999999997
29,Missouri,6071333.0,5550588.0,8.599999999999994
30,Montana,1104997.0,1013725.0,8.299999999999997
31,Nebraska,1939912.0,1810341.0,6.700000000000003
32,Nevada,3139304.0,2790616.0,11.099999999999994
33,New Hampshire,1379160.0,1311639.0,4.900000000000006
34,New Jersey,9168124.0,8540977.0,6.799999999999997
35,New Mexico,2074351.0,1903882.0,8.200000000000003
36,New York,19475046.0,18530250.0,4.900000000000006
37,North Carolina,10480843.0,9507748.0,9.299999999999997
38,North Dakota,762522.0,713892.0,6.400000000000006
39,Ohio,11587715.0,10905166.0,5.900000000000006
40,Oklahoma,3930259.0,3469379.0,11.700000000000003
41,Oregon,4199471.0,3947034.0,6.0
42,Pennsylvania,12789843.0,12108906.0,5.299999999999997
44,Rhode Island,1076902.0,1031520.0,4.200000000000003
45,South Carolina,5185489.0,4715009.0,9.099999999999994
46,South Dakota,888485.0,816897.0,8.099999999999994
47,Tennessee,6951491.0,6304432.0,9.299999999999997
48,Texas,29539484.0,24640517.0,16.599999999999994
49,Utah,3353888.0,3081265.0,8.099999999999994
50,Vermont,640316.0,615515.0,3.9000000000000057
51,Virginia,8446378.0,7901373.0,6.5
53,Washington,7667041.0,7199483.0,6.099999999999994
54,West Virginia,1741322.0,1638252.0,5.900000000000006
55,Wisconsin,5831451.0,5528608.0,5.200000000000003
56,Wyoming,570764.0,505145.0,11.5
72,Puerto Rico,3194807.0,3033339.0,5.099999999999994
