county,medicaid_rejected,medicaid_accepted,medicaid_acceptance_rate
1,9975,12413,55.4
3,143,622,81.3
5,30968,91401,74.7
7,874,4472,83.7
9,451,1667,78.7
11,328,1247,79.2
13,851,3312,79.6
15,453,1119,71.2
17,121,605,83.3
19,881,1227,58.2
21,925,1240,57.3
23,298,755,71.7
25,379,963,71.8
27,5551,9071,62.0
29,12080,35767,74.8
31,406,493,54.8
33,429,717,62.6
35,591,1121,65.5
37,159,1613,91.0
39,501,780,60.9
41,43,53,55.2
43,218,855,79.7
45,133,950,87.7
47,55451,119112,68.2
49,17,250,93.6
51,144,805,84.8
53,270,1061,79.7
55,6416,17399,73.1
57,723,1415,66.2
59,23642,42678,64.4
61,64581,126013,66.1
63,1386,4905,78.0
65,1151,4913,81.0
67,6707,17478,72.3
69,524,1528,74.5
71,6245,10408,62.5
73,61,549,90.0
75,575,2302,80.0
77,535,1545,74.3
79,1552,1839,54.2
81,35553,71381,66.8
83,2161,3718,63.2
85,8238,17528,68.0
87,3837,6556,63.1
89,110,733,87.0
91,3318,4695,58.6
93,2718,3629,57.2
95,112,206,64.8
97,58,164,73.9
99,56,88,61.1
101,158,1129,87.7
103,16416,29375,64.2
105,850,1289,60.3
107,74,250,77.2
109,671,1154,63.2
111,3132,4562,59.3
113,1623,2247,58.1
115,390,567,59.2
117,384,725,65.4
119,13940,25290,64.5
121,75,802,91.4
123,47,191,80.3
